"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X21" 2274.858352845 2953.40437154797 2507.71801740284 2522.14809125047 2986.70963915251 2977.66229559525 2271.00748951649 2507.71801740284 2522.14809125047 2986.70963915251 2977.66229559525 2600.7239710678 2911.18041382981 2911.70172848994 2935.87909629345 2946.02289081991 3182.04582912725 2600.7239710678 2911.18041382981 2911.70172848994 2935.87909629345 2946.02289081991 3182.04582912725 2810.75062666517 2900.36608194875 2900.36608194875 2906.18747161309 2906.18747161309 3299.67548096846
"X22" 2330.44521100038 3052.92588022203 2603.88000922993 2634.43159115696 3124.20618668196 3110.55108947868 2318.84345022142 2603.88000922993 2634.43159115696 3124.20618668196 3110.55108947868 2631.34344666925 3022.111007044 3021.96948680017 3088.03444716145 3087.09374691501 3317.02238518145 2631.34344666925 3022.111007044 3021.96948680017 3088.03444716145 3087.09374691501 3317.02238518145 2922.16141485462 3061.66326314896 3061.66326314896 3083.92610858223 3083.92610858223 3424.86550547768
"X23" 2380.47421677214 3153.27460163043 2721.14910703653 2771.85949569296 3285.14145856235 3265.94827983659 2392.41546635411 2721.14910703653 2771.85949569296 3285.14145856235 3265.94827983659 2680.62367015914 3149.14692065957 3148.45490916754 3250.24150966821 3241.17165619127 3456.09864914091 2680.62367015914 3149.14692065957 3148.45490916754 3250.24150966821 3241.17165619127 3456.09864914091 3050.97991724459 3243.3134330738 3243.3134330738 3277.25643015008 3277.25643015008 3544.39071279206
"X24" 2458.05051262933 3260.20371857522 2868.38711315933 2936.40986861851 3465.91659870178 3442.92759746314 2511.40753854257 2868.38711315933 2936.40986861851 3465.91659870178 3442.92759746314 2767.87344307329 3294.99303359249 3293.90187107776 3424.95656465051 3412.78443412659 3601.79452904462 2767.87344307329 3294.99303359249 3293.90187107776 3424.95656465051 3412.78443412659 3601.79452904462 3204.22341802206 3447.29894403498 3447.29894403498 3490.73390352694 3490.73390352694 3660.48304596709
"X25" 2610.78485101657 3387.33544289004 3052.80857115438 3127.54262833377 3659.06116215282 3637.15298553767 2696.90034220071 3052.80857115438 3127.54262833377 3659.06116215282 3637.15298553767 2912.3892140074 3460.58648736824 3459.35026170899 3616.98677828865 3607.18792058418 3759.7037700009 2912.3892140074 3460.58648736824 3459.35026170899 3616.98677828865 3607.18792058418 3759.7037700009 3388.59451717006 3675.2939905456 3675.2939905456 3730.43429900819 3730.43429900819 3779.58954043078
"X26" 2875.49954287912 3547.94034458915 3273.22693870087 3338.93448897142 3853.08155576347 3839.11869541996 2960.13676964082 3273.22693870087 3338.93448897142 3853.08155576347 3839.11869541996 3123.10579412528 3641.97315727757 3640.98649953531 3827.84261096738 3824.45594323731 3933.54197413945 3123.10579412528 3641.97315727757 3640.98649953531 3827.84261096738 3824.45594323731 3933.54197413945 3604.23329334461 3923.46522359332 3923.46522359332 3996.55414665272 3996.55414665272 3906.79280471137
"X27" 3253.42588834002 3744.77587546153 3515.51039103181 3556.50928937388 4033.23196150051 4033.83703472491 3292.06894319229 3515.51039103181 3556.50928937388 4033.23196150051 4033.83703472491 3390.25927314003 3828.0818746432 3827.81506701811 4050.04610462116 4054.52430337081 4120.02286837509 3390.25927314003 3828.0818746432 3827.81506701811 4050.04610462116 4054.52430337081 4120.02286837509 3839.62424069995 4177.83393740294 4177.83393740294 4276.78413674645 4276.78413674645 4040.48794630667
"X28" 3698.97964589587 3963.26789237269 3752.92799177482 3759.32840350443 4183.3839773489 4202.53938776971 3659.14838414115 3752.92799177482 3759.32840350443 4183.3839773489 4202.53938776971 3683.53400957198 4000.91715072532 4001.7506586561 4264.57368489475 4275.81373251325 4306.14170901408 3683.53400957198 4000.91715072532 4001.7506586561 4264.57368489475 4275.81373251325 4306.14170901408 4070.6676158919 4413.23262551459 4413.23262551459 4544.26365900841 4544.26365900841 4170.0063155814
"X29" 4129.62885485577 4172.21352718606 3952.17579040863 3923.80166054201 4288.82628027227 4326.26397252108 4008.77876008501 3952.17579040863 3923.80166054201 4288.82628027227 4326.26397252108 3958.69427210343 4138.84063573905 4140.87691580562 4443.45636161196 4458.78919001589 4470.58583894541 3958.69427210343 4138.84063573905 4140.87691580562 4443.45636161196 4458.78919001589 4470.58583894541 4265.34362409905 4597.53086732212 4597.53086732212 4762.18349859833 4762.18349859833 4277.64856100164
"X30" 4454.68099696879 4332.99520394591 4083.41601039921 4030.1879603603 4339.45239838089 4390.47759741254 4283.95920777011 4083.41601039921 4030.1879603603 4339.45239838089 4390.47759741254 4171.04082639298 4222.32507082953 4225.28571882597 4557.36156915604 4573.84606954093 4589.30710928983 4171.04082639298 4222.32507082953 4225.28571882597 4557.36156915604 4573.84606954093 4589.30710928983 4392.96787415235 4700.47005432858 4700.47005432858 4894.2292041642 4894.2292041642 4344.62348398379
"X31" 4611.7228350063 4414.51029969446 4130.76293029071 4069.17748535977 4332.54968069248 4389.41036467479 4442.65819286348 4130.76293029071 4069.17748535977 4332.54968069248 4389.41036467479 4290.88987884978 4240.42356340863 4243.70895444731 4585.75504850563 4601.09944857616 4643.53537796102 4290.88987884978 4240.42356340863 4243.70895444731 4585.75504850563 4601.09944857616 4643.53537796102 4434.88812057733 4704.23735342581 4704.23735342581 4917.37943693709 4917.37943693709 4358.60145964917
"X32" 4595.50335495199 4408.43056086445 4099.23172484919 4046.08117489503 4274.4099024232 4328.77884196708 4475.25038253227 4099.23172484919 4046.08117489503 4274.4099024232 4328.77884196708 4315.1836837411 4195.74934108695 4198.66421823251 4526.04050195498 4538.80517592572 4627.48788456546 4315.1836837411 4195.74934108695 4198.66421823251 4526.04050195498 4538.80517592572 4627.48788456546 4392.65255871761 4611.91305666262 4611.91305666262 4832.37490361907 4832.37490361907 4319.83482796178
