"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X32" 4740.53471570104 4614.43849312326 4408.77963062114 4357.88346251581 4534.58591718126 4579.16176669547 4594.53335927727 4408.77963062114 4357.88346251581 4534.58591718126 4579.16176669547 4543.47486088945 4492.25181639766 4468.79384622224 4644.31453348725 4650.25007194898 4810.89196507965 4543.47486088945 4492.25181639766 4468.79384622224 4644.31453348725 4650.25007194898 4810.89196507965 4575.8093472658 4780.17890259518 4780.17890259518 4941.57789300147 4941.57789300147 4576.03248848468
"X33" 4615.74873177364 4542.3210182909 4334.67657025848 4303.26932898658 4468.31607335953 4504.24592293655 4549.27496296286 4334.67657025848 4303.26932898658 4468.31607335953 4504.24592293655 4480.46125090278 4410.28847077485 4393.17306141973 4555.90222997036 4556.37141770394 4753.22874702024 4480.46125090278 4410.28847077485 4393.17306141973 4555.90222997036 4556.37141770394 4753.22874702024 4513.58922141094 4669.24772834656 4669.24772834656 4821.68416248101 4821.68416248101 4489.01147338922
"X34" 4439.80426022966 4431.73091967444 4228.34443442284 4219.76086555784 4379.04411919679 4401.40201479827 4449.52758324471 4228.34443442284 4219.76086555784 4379.04411919679 4401.40201479827 4377.81629107257 4295.40231062815 4288.03042587678 4426.9135952829 4422.27747333083 4652.70187731084 4377.81629107257 4295.40231062815 4288.03042587678 4426.9135952829 4422.27747333083 4652.70187731084 4419.53783021578 4519.05329200376 4519.05329200376 4660.29075561463 4660.29075561463 4386.07453297834
"X35" 4270.53847635822 4309.19548030663 4117.32346492345 4128.7240195244 4280.86289327944 4286.70869638414 4326.62108636531 4117.32346492345 4128.7240195244 4280.86289327944 4286.70869638414 4269.9714702172 4169.40582424582 4172.74308402317 4274.52767484997 4265.60206760799 4521.66398571854 4269.9714702172 4169.40582424582 4172.74308402317 4274.52767484997 4265.60206760799 4521.66398571854 4313.0030170091 4351.11676306838 4351.11676306838 4481.14498718429 4481.14498718429 4287.29059441311
"X36" 4158.56094914397 4209.46160579203 4026.08921124179 4049.43162534986 4187.93516912429 4177.23178791321 4217.4937172762 4026.08921124179 4049.43162534986 4187.93516912429 4177.23178791321 4186.85336846661 4055.162314453 4067.20601808363 4119.53362443122 4107.37244522195 4377.79286626373 4186.85336846661 4055.162314453 4067.20601808363 4119.53362443122 4107.37244522195 4377.79286626373 4213.17843485231 4188.5543028646 4188.5543028646 4308.71458968613 4308.71458968613 4208.29139132402
"X37" 4129.40561977366 4165.04420120427 3969.74481376413 3994.50075201867 4112.06747967233 4087.86758451641 4153.6477358709 3969.74481376413 3994.50075201867 4112.06747967233 4087.86758451641 4144.1492857641 3971.34649857511 3987.54488095172 3982.29811394003 3968.13099104335 4240.57425769934 4144.1492857641 3971.34649857511 3987.54488095172 3982.29811394003 3968.13099104335 4240.57425769934 4134.54371865766 4051.23797971138 4051.23797971138 4163.0054887738 4163.0054887738 4155.92044152641
"X38" 4174.0355229757 4191.61407337916 3950.95315555195 3967.51379650339 4060.5448913676 4028.24938071918 4148.50852057715 3950.95315555195 3967.51379650339 4060.5448913676 4028.24938071918 4139.10834812223 3927.96436095013 3942.51072582002 3877.85283951275 3863.19305071003 4126.14190534883 4139.10834812223 3927.96436095013 3942.51072582002 3877.85283951275 3863.19305071003 4126.14190534883 4083.59059485834 3951.25019578508 3951.25019578508 4055.18993872456 4055.18993872456 4127.25766773898
"X39" 4253.9420301276 4277.24166276557 3961.91483994265 3964.16350493448 4035.3259089384 4001.42786268889 4190.36426496844 3961.91483994265 3964.16350493448 4035.3259089384 4001.42786268889 4154.86470977462 3925.3382056058 3932.65235896761 3813.06986894698 3799.82972144229 4043.76621253403 4154.86470977462 3925.3382056058 3932.65235896761 3813.06986894698 3799.82972144229 4043.76621253403 4058.83803223777 3891.34313316953 3891.34313316953 3986.62504738387 3986.62504738387 4112.56827429498
"X40" 4316.8575707151 4378.76456134211 3989.76076886169 3975.85229181567 4033.5694273883 4004.34612214644 4242.39311822087 3989.76076886169 3975.85229181567 4033.5694273883 4004.34612214644 4170.28134658274 3956.16089475246 3951.95672468272 3786.31410025092 3776.77195628306 3994.64565645589 4170.28134658274 3956.16089475246 3951.95672468272 3786.31410025092 3776.77195628306 3994.64565645589 4053.45956755368 3866.26072473562 3866.26072473562 3950.87634719487 3950.87634719487 4100.53676102069
"X41" 4315.10234743043 4426.94486961333 4022.56551607893 3993.87412874408 4049.13887903968 4029.65984511502 4249.4586317894 4022.56551607893 3993.87412874408 4049.13887903968 4029.65984511502 4170.12518431122 4009.24642653131 3990.89575162194 3789.25632680904 3785.8270563092 3972.96613913498 4170.12518431122 4009.24642653131 3990.89575162194 3789.25632680904 3785.8270563092 3972.96613913498 4058.96995796086 3865.89386116806 3865.89386116806 3937.41532264484 3937.41532264484 4083.27815825113
"X42" 4218.41811315494 4340.15847385527 4053.30540103404 4012.36286185198 4074.59140661708 4068.24200331541 4150.0070628551 4053.30540103404 4012.36286185198 4074.59140661708 4068.24200331541 4150.60915971153 4073.34501714581 4039.61516875854 3810.092673582 3814.99696584453 3968.67466812659 4150.60915971153 4073.34501714581 4039.61516875854 3810.092673582 3814.99696584453 3968.67466812659 4068.30545888145 3878.92205139579 3878.92205139579 3935.40575352304 3935.40575352304 4058.86336491503
"X43" 4016.66757737804 4044.72976459214 4080.34355764107 4029.01648169925 4103.23152761937 4111.79494111298 3890.90462693506 4080.34355764107 4029.01648169925 4103.23152761937 4111.79494111298 4117.7631947946 4139.88088589202 4090.36874220227 3837.36491885507 3852.38873468301 3971.22410447529 4117.7631947946 4139.88088589202 4090.36874220227 3837.36491885507 3852.38873468301 3971.22410447529 4077.26639930026 3895.9094241431 3895.9094241431 3936.46475604282 3936.46475604282 4030.29835047212
